address,system,unit,ladder,half-ladder,module,sensor,side,channel,time,charge
268437666,2,10,2,0,0,0,0,170,94,8
268437714,2,13,2,0,0,0,0,2001,94,2
268438690,2,10,3,0,0,0,0,1151,94,8
268438786,2,16,3,0,0,0,0,165,94,4
268439586,2,2,4,0,0,0,0,792,94,2
268439586,2,2,4,0,0,0,0,818,94,4
268439586,2,2,4,0,0,0,0,1677,94,6
268439586,2,2,4,0,0,0,0,1928,94,5
268439778,2,14,4,0,0,0,0,583,94,0
268439794,2,15,4,0,0,0,0,144,94,0
268440642,2,4,5,0,0,0,0,990,94,1
268440706,2,8,5,0,0,0,0,1497,94,7
268441698,2,6,6,0,0,0,0,332,94,8
268441698,2,6,6,0,0,0,0,1330,94,6
268441698,2,6,6,0,0,0,0,1906,94,4
268442786,2,10,7,0,0,0,0,1732,94,7
268468242,2,1,0,1,0,0,0,2008,94,5
268468258,2,2,0,1,0,0,0,851,94,2
268468274,2,3,0,1,0,0,0,1663,94,1
268468370,2,9,0,1,0,0,0,325,94,31
268468370,2,9,0,1,0,0,0,1737,94,31
268469282,2,2,1,1,0,0,0,1572,94,2
268469282,2,2,1,1,0,0,0,2015,94,7
268470306,2,2,2,1,0,0,0,1346,94,2
268473474,2,8,5,1,0,0,0,176,94,10
268473506,2,10,5,1,0,0,0,1476,94,0
268473522,2,11,5,1,0,0,0,293,94,1
268474466,2,6,6,1,0,0,0,683,94,1
268474530,2,10,6,1,0,0,0,1343,94,4
268501138,2,9,0,0,1,0,0,453,94,0
268502050,2,2,1,0,1,0,0,90,94,0
268502162,2,9,1,0,1,0,0,1238,94,1
268503090,2,3,2,0,1,0,0,440,94,14
268503090,2,3,2,0,1,0,0,447,94,2
268503138,2,6,2,0,1,0,0,1770,94,9
268503170,2,8,2,0,1,0,0,1412,94,2
268504178,2,7,3,0,1,0,0,506,94,1
268504178,2,7,3,0,1,0,0,902,94,4
268505122,2,2,4,0,1,0,0,1624,94,6
268505330,2,15,4,0,1,0,0,341,94,3
268506242,2,8,5,0,1,0,0,1860,94,5
268507234,2,6,6,0,1,0,0,958,94,5
268507234,2,6,6,0,1,0,0,1894,94,1
268507362,2,14,6,0,1,0,0,123,94,8
268508322,2,10,7,0,1,0,0,1567,94,6
268533778,2,1,0,1,1,0,0,464,94,5
268533778,2,1,0,1,1,0,0,1447,94,5
268533810,2,3,0,1,1,0,0,1970,94,1
268533826,2,4,0,1,1,0,0,1097,94,1
268533842,2,5,0,1,1,0,0,1468,94,2
268533906,2,9,0,1,1,0,0,1953,94,8
268533922,2,10,0,1,1,0,0,116,94,1
268533922,2,10,0,1,1,0,0,118,94,1
268533970,2,13,0,1,1,0,0,1071,94,7
268534818,2,2,1,1,1,0,0,1742,94,10
268534818,2,2,1,1,1,0,0,1827,94,9
268534930,2,9,1,1,1,0,0,138,94,10
268534946,2,10,1,1,1,0,0,620,94,2
268535858,2,3,2,1,1,0,0,29,94,3
268535858,2,3,2,1,1,0,0,1051,94,0
268535954,2,9,2,1,1,0,0,996,94,2
268536914,2,5,3,1,1,0,0,2034,94,10
268536994,2,10,3,1,1,0,0,1205,94,4
268537090,2,16,3,1,1,0,0,1917,94,6
268537922,2,4,4,1,1,0,0,731,94,2
268537938,2,5,4,1,1,0,0,1294,94,0
268538002,2,9,4,1,1,0,0,837,94,2
268538946,2,4,5,1,1,0,0,919,94,4
268540002,2,6,6,1,1,0,0,1240,94,12
268540050,2,9,6,1,1,0,0,747,94,1
268540098,2,12,6,1,1,0,0,823,94,5
268541090,2,10,7,1,1,0,0,570,94,1
268566546,2,1,0,0,2,0,0,395,94,6
268566562,2,2,0,0,2,0,0,1268,94,4
268566578,2,3,0,0,2,0,0,843,94,1
268566770,2,15,0,0,2,0,0,574,94,3
268566770,2,15,0,0,2,0,0,1700,94,0
268567586,2,2,1,0,2,0,0,315,94,14
268567634,2,5,1,0,2,0,0,263,94,2
268567762,2,13,1,0,2,0,0,459,94,6
268569714,2,7,3,0,2,0,0,46,94,2
268570658,2,2,4,0,2,0,0,1640,94,6
268570658,2,2,4,0,2,0,0,1681,94,31
268570722,2,6,4,0,2,0,0,442,94,5
268570754,2,8,4,0,2,0,0,46,94,22
268570866,2,15,4,0,2,0,0,55,94,0
268570866,2,15,4,0,2,0,0,1987,94,10
268571746,2,6,5,0,2,0,0,1933,94,6
268571778,2,8,5,0,2,0,0,281,94,10
268571778,2,8,5,0,2,0,0,1701,94,5
268599346,2,3,0,1,2,0,0,1335,94,3
268599378,2,5,0,1,2,0,0,1419,94,5
268599394,2,6,0,1,2,0,0,194,94,2
268599474,2,11,0,1,2,0,0,1346,94,0
268600322,2,0,1,1,2,0,0,362,94,2
268600450,2,8,1,1,2,0,0,1793,94,6
268601442,2,6,2,1,2,0,0,1239,94,9
268601506,2,10,2,1,2,0,0,774,94,3
268604642,2,14,5,1,2,0,0,1241,94,10
268633250,2,10,1,0,3,0,0,1606,94,0
268634322,2,13,2,0,3,0,0,1524,94,3
268634338,2,14,2,0,3,0,0,1388,94,0
268635314,2,11,3,0,3,0,0,674,94,1
268636194,2,2,4,0,3,0,0,1726,94,2
268636306,2,9,4,0,3,0,0,1271,94,31
268637266,2,5,5,0,3,0,0,220,94,2
268638450,2,15,6,0,3,0,0,107,94,3
268664946,2,7,0,1,3,0,0,1048,94,1
268664946,2,7,0,1,3,0,0,1049,94,6
268665042,2,13,0,1,3,0,0,1247,94,10
268665954,2,6,1,1,3,0,0,1081,94,0
268666930,2,3,2,1,3,0,0,230,94,4
268666978,2,6,2,1,3,0,0,1625,94,6
268667954,2,3,3,1,3,0,0,1686,94,3
268669074,2,9,4,1,3,0,0,186,94,1
268669138,2,13,4,1,3,0,0,857,94,7
268670098,2,9,5,1,3,0,0,1361,94,1
268670114,2,10,5,1,3,0,0,1209,94,6
268671170,2,12,6,1,3,0,0,566,94,7
268697842,2,15,0,0,4,0,0,691,94,6
268698626,2,0,1,0,4,0,0,501,94,1
268698722,2,6,1,0,4,0,0,1221,94,3
268700786,2,7,3,0,4,0,0,227,94,6
268731442,2,3,1,1,4,0,0,1466,94,2
268731474,2,5,1,1,4,0,0,1799,94,3
268731490,2,6,1,1,4,0,0,1799,94,0
268733554,2,7,3,1,4,0,0,1762,94,9
268735554,2,4,5,1,4,0,0,1589,94,2
268435474,2,1,0,0,0,0,0,547,95,0
268435474,2,1,0,0,0,0,0,1186,95,10
268435474,2,1,0,0,0,0,0,1429,95,9
268435538,2,5,0,0,0,0,0,246,95,31
268435538,2,5,0,0,0,0,0,619,95,3
268435538,2,5,0,0,0,0,0,1238,95,8
268435538,2,5,0,0,0,0,0,1243,95,31
268435570,2,7,0,0,0,0,0,1942,95,0
268435602,2,9,0,0,0,0,0,238,95,3
268435666,2,13,0,0,0,0,0,887,95,3
268435730,2,17,0,0,0,0,0,536,95,6
268436530,2,3,1,0,0,0,0,527,95,1
268436530,2,3,1,0,0,0,0,987,95,2
268436562,2,5,1,0,0,0,0,1870,95,1
268437570,2,4,2,0,0,0,0,1162,95,2
268437586,2,5,2,0,0,0,0,909,95,3
268438610,2,5,3,0,0,0,0,1476,95,4
268439698,2,9,4,0,0,0,0,624,95,7
268439778,2,14,4,0,0,0,0,1519,95,2
268439794,2,15,4,0,0,0,0,712,95,4
268440642,2,4,5,0,0,0,0,854,95,7
268440690,2,7,5,0,0,0,0,733,95,4
268440690,2,7,5,0,0,0,0,1706,95,2
268440706,2,8,5,0,0,0,0,770,95,7
268442786,2,10,7,0,0,0,0,621,95,8
268468258,2,2,0,1,0,0,0,532,95,4
268468290,2,4,0,1,0,0,0,1160,95,2
268468338,2,7,0,1,0,0,0,1152,95,10
268468370,2,9,0,1,0,0,0,1333,95,25
268469250,2,0,1,1,0,0,0,618,95,5
268469250,2,0,1,1,0,0,0,929,95,2
268469346,2,6,1,1,0,0,0,676,95,0
268469522,2,17,1,1,0,0,0,7,95,8
268469522,2,17,1,1,0,0,0,689,95,0
268470370,2,6,2,1,0,0,0,396,95,0
268470402,2,8,2,1,0,0,0,1075,95,23
268471378,2,5,3,1,0,0,0,2012,95,7
268473570,2,14,5,1,0,0,0,268,95,0
268474466,2,6,6,1,0,0,0,195,95,2
268474530,2,10,6,1,0,0,0,1632,95,7
268501010,2,1,0,0,1,0,0,566,95,8
268501010,2,1,0,0,1,0,0,605,95,2
268501042,2,3,0,0,1,0,0,751,95,4
268501074,2,5,0,0,1,0,0,97,95,10
268501106,2,7,0,0,1,0,0,801,95,7
268502050,2,2,1,0,1,0,0,1736,95,13
268502226,2,13,1,0,1,0,0,1130,95,2
268503090,2,3,2,0,1,0,0,50,95,31
268503138,2,6,2,0,1,0,0,872,95,0
268503234,2,12,2,0,1,0,0,778,95,12
268504178,2,7,3,0,1,0,0,1844,95,4
268504322,2,16,3,0,1,0,0,1851,95,2
268504338,2,17,3,0,1,0,0,624,95,4
268505122,2,2,4,0,1,0,0,678,95,6
268505122,2,2,4,0,1,0,0,856,95,31
268505266,2,11,4,0,1,0,0,430,95,2
268506354,2,15,5,0,1,0,0,819,95,0
268506354,2,15,5,0,1,0,0,1783,95,0
268507234,2,6,6,0,1,0,0,956,95,0
268508306,2,9,7,0,1,0,0,1721,95,18
268533810,2,3,0,1,1,0,0,1438,95,2
268533842,2,5,0,1,1,0,0,672,95,8
268533842,2,5,0,1,1,0,0,1277,95,1
268533842,2,5,0,1,1,0,0,1470,95,6
268533906,2,9,0,1,1,0,0,53,95,10
268533970,2,13,0,1,1,0,0,1317,95,26
268534786,2,0,1,1,1,0,0,938,95,3
268534786,2,0,1,1,1,0,0,1918,95,2
268534818,2,2,1,1,1,0,0,1691,95,5
268534866,2,5,1,1,1,0,0,261,95,3
268534882,2,6,1,1,1,0,0,1911,95,10
268536946,2,7,3,1,1,0,0,877,95,8
268536946,2,7,3,1,1,0,0,913,95,1
268536962,2,8,3,1,1,0,0,133,95,1
268536994,2,10,3,1,1,0,0,1441,95,3
268537058,2,14,3,1,1,0,0,1854,95,8
